dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required
Leipzig;https://www.immometrica.com/de/offer/27741735;4277;Marienbrunn;04277 Leipzig - Marienbrunn 04277 Leipzig - Marienbrunn;4,46 % Rendite | Balkon | Außenstellplatz | Wannenbad;99000.0;48.0;5.8;;7.0;332.0;Modernisiert;-;269.9;https://www.immometrica.com/de/offer/27741735;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27014091;4277;Connewitz;04277 Connewitz, Leipzig;KAPITALANLAGE MIT KONTINUITÄT | Langfristig vermietete 2-Raum-Wohnung mit Entwicklungspotenzial;130000.0;61.5;5.8;3.5;71.0;260.0;Vollständig renoviert;gesunken;283.7;https://www.immometrica.com/de/offer/27014091;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27769385;4277;Leipzig;Simildenstr. 16, 04277 Leipzig;***LANGZEITVERMIETETE ETW ALS KAPITALANLAGE IN LEIPZIG-CONNEWITZ ZU VERKAUFEN***;118900.0;57.18;5.8;3.9;4.0;266.0;Saniert;-;279.07;https://www.immometrica.com/de/offer/27769385;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/25529853;4157;Leipzig;Wilhelm-Plesse-Str. 28, 04157 Leipzig;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000.0;61.8;5.8;3.7;209.0;290.0;Gepflegt;gesunken;271.98;https://www.immometrica.com/de/offer/25529853;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27428758;4288;Leipzig;Walter-Markov-Ring 37, 04288 Leipzig;++ Faktor 23, 1.954 EUR / m², PKW-Stellplatz, Balkon! 2-Zimmer Wohnung in Leipzig-Holzhausen ++;129000.0;66.0;5.8;4.3;34.0;240.65;Gepflegt;-;288.33;https://www.immometrica.com/de/offer/27428758;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27616739;4159;Wahren;Hopfenbergstraße 7, 04159 Wahren, Leipzig;Kapitalanlage  1-Zimmer-Wohnung mit Aufzug in Leipzig Wahren;116000.0;53.0;5.8;5.8;18.0;180.0;Gepflegt;gesunken;318.75;https://www.immometrica.com/de/offer/27616739;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27096191;4299;Leipzig;Dieskaustr. 90, 04229 Leipzig;Zeitlose Kapitalanlage im Gründerzeithaus - 2-Zimmer-Wohnung mit Balkon und Aufzug;115000.0;55.0;5.8;;64.0;;Gepflegt;-;273.12;https://www.immometrica.com/de/offer/27096191;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27635813;4277;Connewitz;04277 Leipzig - Connewitz 04277 Leipzig - Connewitz;KAPITALANLAGE MIT KONTINUITÄT | Langfristig vermietete 2-Raum-Wohnung mit Entwicklungspotenzial;130000.0;61.53;5.8;;16.0;260.0;Saniert;-;297.04;https://www.immometrica.com/de/offer/27635813;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27568472;4159;Wahren;04159 Leipzig - Wahren 04159 Leipzig - Wahren;Denkmalschutz: Gut sanierte 2-Zimmer-Erdgeschosswohnung im aufstrebenden Möckern zu erwerben;110000.0;58.0;5.7;;22.0;277.0;Saniert;-;284.62;https://www.immometrica.com/de/offer/27568472;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27802603;4356;Seehausen;Storchenweg 6, 04356 Leipzig;2 - Zimmer- DG Wohnung in Leipzig Seehausen zu verkaufen;99995.0;53.0;5.7;;1.0;260.0;Gepflegt;-;267.69;https://www.immometrica.com/de/offer/27802603;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27598557;4249;Leipzig;Ponickaustr. 2, 04249 Leipzig;++ 1.998 EUR / m², Dachterrasse, 3,85% IST-Rendite! Charmantes Apartment im Leipziger Süd-Westen ++;99900.0;49.9;5.7;3.8;20.0;98.8;Gepflegt;-;319.01;https://www.immometrica.com/de/offer/27598557;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27190373;4157;Gohlis-Mitte;04157 Leipzig - Gohlis-Mitte 04157 Leipzig - Gohlis-Mitte;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000.0;61.8;5.7;;56.0;290.0;Gepflegt;-;282.83;https://www.immometrica.com/de/offer/27190373;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/23142126;4159;Wahren;Toskastr. 10 d, 04159 Möckern, Leipzig;TOP Apartment mit Weitblick - EBK, Balkon, inkl. TG-Stellplatz, vermietet;94500.0;44.07;5.7;4.7;422.0;;Gepflegt;-;274.99;https://www.immometrica.com/de/offer/23142126;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26524767;4103;Leipzig;Ihmelstr. 1, 04103 Volkmarsdorf, Leipzig;Schicke kleine Eigentumswohnung Selsbstnutzung o. Kap.Anl.;104000.0;52.0;5.7;3.5;113.0;240.0;Gepflegt;gesunken;276.03;https://www.immometrica.com/de/offer/26524767;61–180 Tage;-15;prüfen;False
